1019	0	en	TextPlugin	2017-03-20 12:40:09.15-07	2017-04-11 18:36:42.549-07	1018	10	5	0	00AT0001000100040001
433	0	en	StylePlugin	2017-03-21 22:46:01.995-07	2017-03-22 11:06:57.764-07	432	132	2	3	00270001
436	0	en	StylePlugin	2017-03-22 07:20:59.087-07	2017-03-22 11:06:57.905-07	433	132	3	1	002700010003
824	0	en	TextPlugin	2017-03-28 07:31:41.226-07	2017-03-28 07:45:48.963-07	\N	185	1	3	005M
60	0	en	StylePlugin	2017-03-20 09:56:41.31-07	2017-03-20 13:08:45.829-07	8	9	2	2	00AJ0001
828	0	en	TextPlugin	2017-03-28 07:47:55.266-07	2017-03-28 07:57:57.533-07	\N	186	1	2	005N
663	0	en	TextPlugin	2017-03-25 13:12:07.76-07	2017-03-27 14:03:24.279-07	\N	157	1	5	003T
601	0	en	GalleryCMSPlugin	2017-03-24 14:27:51.438-07	2017-03-24 14:27:51.569-07	\N	141	1	1	003C
606	0	en	GalleryCMSPlugin	2017-03-24 21:53:47.77-07	2017-03-24 21:53:47.858-07	\N	143	1	1	003E
440	2	en	EmailField	2017-03-21 22:47:52.21-07	2017-03-22 11:06:58.087-07	439	132	6	0	002700010003000100020001
682	1	en	NewsBlogFeaturedArticlesPlugin	2017-03-25 22:17:15.458-07	2017-03-26 09:50:33.322-07	681	12	2	0	00430001
1032	1	en	SubscriptionCMSPlugin	2017-03-24 11:42:22.865-07	2017-04-12 17:31:01.67-07	1031	212	2	0	00AX0001
441	3	en	TextAreaField	2017-03-22 06:28:25.823-07	2017-03-22 11:06:58.128-07	439	132	6	0	002700010003000100020002
717	1	en	NewsBlogLatestArticlesPlugin	2017-03-27 10:39:37.16-07	2017-03-27 10:39:37.232-07	\N	172	1	0	004F
1031	0	en	StylePlugin	2017-03-24 11:43:02.226-07	2017-04-12 17:31:01.6-07	\N	212	1	2	00AX
442	4	en	SubmitButton	2017-03-22 06:33:38.793-07	2017-03-22 11:06:58.169-07	439	132	6	0	002700010003000100020003
439	1	en	FormPlugin	2017-03-21 22:43:17.375-07	2017-03-22 11:06:58.044-07	437	132	5	4	00270001000300010002
443	0	en	TextField	2017-03-21 22:44:45.702-07	2017-03-22 11:06:58.208-07	439	132	6	0	002700010003000100020004
222	0	en	TextPlugin	2017-03-21 09:19:07.34-07	2017-03-21 09:20:44.325-07	\N	109	1	1	001C
