219	2017-03-24 09:35:03.165-07	557	div	3		41	1
220	2017-03-24 10:39:32.426-07	558	<iframe width="560" height="315" src="https://www.youtube.com/embed/6EmQ8hRIH9w" frameborder="0" allowfullscreen></iframe>	3		33	1
221	2017-03-24 10:47:10.049-07	1	test video	2	Changed html.	39	1
222	2017-03-24 10:48:10.026-07	1	test video	2	Changed html.	39	1
223	2017-03-24 11:15:53.234-07	1	test video	2	Changed html.	39	1
224	2017-03-24 11:17:14.731-07	1	test video	2	Changed html.	39	1
225	2017-03-24 11:23:09.472-07	563	test video	3		40	1
226	2017-03-24 11:25:50.416-07	559	test video	3		40	1
227	2017-03-24 11:35:06.951-07	565	div	3		99	1
228	2017-03-24 11:37:08.3-07	566	aef4aed9fe	3		45	1
229	2017-03-24 11:45:08.167-07	570	test video	3		40	1
230	2017-03-24 11:47:56.316-07	1	test video	2	Changed html.	39	1
231	2017-03-24 11:53:59.884-07	574	div	3		41	1
232	2017-03-24 12:44:30.961-07	134	main	3		1	1
233	2017-03-24 13:03:52.976-07	204	Style: Standard, Engine: Fade, Timeout: 5000, Duration: 300, Shuffle Slides: False	3		70	1
234	2017-03-24 13:07:16.58-07	11	west	3		56	1
235	2017-03-24 13:07:36.289-07	8	Graffiti	2		2	1
236	2017-03-24 14:18:56.618-07	581	Style: Standard, Engine: Fade, Timeout: 5000, Duration: 300, Shuffle Slides: False	3		70	1
237	2017-03-24 14:22:45.018-07	591	591	3		72	1
238	2017-03-24 14:23:45.258-07	9	Gallery	2		2	1
239	2017-03-24 14:24:36.71-07	595	Style: Standard, Engine: Fade, Timeout: 5000, Duration: 300, Shuffle Slides: False	3		70	1
240	2017-03-24 14:26:04.463-07	134	main	3		1	1
241	2017-03-24 14:43:49.088-07	15	Metro	2	Changed featured_image and tags. Article: 'Metro' ('EN' translation)	56	1
242	2017-03-24 15:09:00.759-07	14	pics	2	Changed featured_image and tags. Article: 'pics' ('EN' translation)	56	1
243	2017-03-24 15:50:40.288-07	7	NewsBlog / aldryn_newsblog_gallery	2	Changed template_prefix. NewsBlogConfig: 'NewsBlog / aldryn_newsblog_gallery' ('EN' translation)	54	1
244	2017-03-24 16:39:42.645-07	16	next	2	Changed is_published, is_featured, featured_image and tags. Article: 'next' ('EN' translation)	56	1
245	2017-03-24 17:37:23.752-07	7	NewsBlog / aldryn_newsblog_gallery	2	No fields changed. NewsBlogConfig: 'NewsBlog / aldryn_newsblog_gallery' ('EN' translation)	54	1
246	2017-03-24 20:40:11.797-07	5	NewsBlog / aldryn_newsblog_news	2	Changed pagination_pages_start. NewsBlogConfig: 'NewsBlog / aldryn_newsblog_news' ('EN' translation)	54	1
247	2017-03-24 20:41:15.107-07	5	NewsBlog / aldryn_newsblog_news	2	Changed pagination_pages_start and pagination_pages_visible. NewsBlogConfig: 'NewsBlog / aldryn_newsblog_news' ('EN' translation)	54	1
248	2017-03-24 21:51:43.474-07	605	this gallery	3		3	1
249	2017-03-24 21:55:57.802-07	17	another	2	Changed featured_image and tags. Article: 'another' ('EN' translation)	56	1
