86	default	2017-03-25 08:31:20.963-07	Edited plugin #608: In a far-off...	1
87	default	2017-03-25 08:32:45.487-07	Edited plugin #611: outlook festival	1
88	default	2017-03-25 08:32:48.628-07	Edited plugin #608: In a far-off...	1
89	default	2017-03-25 08:34:08.23-07	Edited plugin #611: outlook festival	1
90	default	2017-03-25 08:34:15.588-07	Edited plugin #608: In a far-off...	1
91	default	2017-03-25 08:37:23.954-07	Edited plugin #611: outlook festival	1
92	default	2017-03-25 08:37:27.987-07	Edited plugin #608: In a far-off...	1
93	default	2017-03-25 08:39:12.499-07	Edited plugin #611: outlook festival	1
94	default	2017-03-25 08:39:15.846-07	Edited plugin #608: In a far-off...	1
95	default	2017-03-25 08:47:57.917-07	Changed tags and app_config. Article: 'Outlook 2015' ('EN' translation)	1
96	default	2017-03-25 08:50:13.188-07	Initial version.	1
97	default	2017-03-25 08:54:47.934-07	Initial version.	1
98	default	2017-03-25 08:57:21.664-07	No fields changed. NewsBlogConfig: 'NewsBlog / aldryn_newsblog_events' ('EN' translation)	1
99	default	2017-03-25 08:58:03.692-07	Initial version.	1
100	default	2017-03-25 08:59:23.139-07	Initial version.	1
101	default	2017-03-25 09:00:16.998-07	Initial version.	1
102	default	2017-03-25 09:04:34.239-07	Changed is_published, is_featured, featured_image and tags. Article: 'Bass Coast 2015 Preview' ('EN' translation)	1
103	default	2017-03-25 09:24:21.43-07	Deleted plugin #577: Style: Standard, Engine: Fade, Timeout: 5000, Duration: 300, Shuffle Slides: False	1
104	default	2017-03-25 09:26:41.882-07	Changed pagination_pages_visible. NewsBlogConfig: 'NewsBlog / aldryn_newsblog_news' ('EN' translation)	1
105	default	2017-03-25 09:50:52.045-07	Changed title, author, is_published, is_featured, featured_image and tags. Article: 'Outlook 2015 Review' ('EN' translation)	1
106	default	2017-03-25 09:55:24.364-07	Added plugin #646: 12039122_10153044570346227_2822635877236150703_o-1024x683.jpg	1
107	default	2017-03-25 09:56:52.222-07	Added plugin #647: outlookpic3.jpg	1
