187	Can change news blog tags plugin	64	change_newsblogtagsplugin
188	Can delete news blog tags plugin	64	delete_newsblogtagsplugin
189	Can add Group	66	add_group
190	Can change Group	66	change_group
191	Can delete Group	66	delete_group
192	Can add Person	68	add_person
193	Can change Person	68	change_person
194	Can delete Person	68	delete_person
195	Can add people plugin	69	add_peopleplugin
196	Can change people plugin	69	change_peopleplugin
197	Can delete people plugin	69	delete_peopleplugin
198	Can add gallery plugin	70	add_galleryplugin
199	Can change gallery plugin	70	change_galleryplugin
200	Can delete gallery plugin	70	delete_galleryplugin
201	Can add slide plugin	71	add_slideplugin
202	Can change slide plugin	71	change_slideplugin
203	Can delete slide plugin	71	delete_slideplugin
204	Can add slide folder plugin	72	add_slidefolderplugin
205	Can change slide folder plugin	72	change_slidefolderplugin
206	Can delete slide folder plugin	72	delete_slidefolderplugin
207	Can add Tag	73	add_tag
208	Can change Tag	73	change_tag
209	Can delete Tag	73	delete_tag
210	Can add Tagged Item	74	add_taggeditem
211	Can change Tagged Item	74	change_taggeditem
212	Can delete Tagged Item	74	delete_taggeditem
213	Can add log entry	75	add_logentry
214	Can change log entry	75	change_logentry
215	Can delete log entry	75	delete_logentry
216	Can add permission	76	add_permission
217	Can change permission	76	change_permission
218	Can delete permission	76	delete_permission
219	Can add group	77	add_group
220	Can change group	77	change_group
221	Can delete group	77	delete_group
222	Can add user	78	add_user
223	Can change user	78	change_user
224	Can delete user	78	delete_user
225	Can add content type	79	add_contenttype
226	Can change content type	79	change_contenttype
227	Can delete content type	79	delete_contenttype
228	Can add session	80	add_session
229	Can change session	80	change_session
230	Can delete session	80	delete_session
234	Can add form	82	add_form
235	Can change form	82	change_form
236	Can delete form	82	delete_form
237	Can add form	83	add_formdefinition
238	Can change form	83	change_formdefinition
239	Can delete form	83	delete_formdefinition
240	Can add field	84	add_formfield
241	Can change field	84	change_formfield
242	Can delete field	84	delete_formfield
243	Can add form submission	85	add_formsubmission
244	Can change form submission	85	change_formsubmission
245	Can delete form submission	85	delete_formsubmission
246	Can export Form Submission	85	export_formsubmission
247	Can add form plugin	86	add_formplugin
248	Can change form plugin	86	change_formplugin
249	Can delete form plugin	86	delete_formplugin
250	Can add fieldset plugin	87	add_fieldsetplugin
251	Can change fieldset plugin	87	change_fieldsetplugin
252	Can delete fieldset plugin	87	delete_fieldsetplugin
253	Can add field plugin	88	add_fieldplugin
254	Can change field plugin	88	change_fieldplugin
255	Can delete field plugin	88	delete_fieldplugin
256	Can add text area field plugin	89	add_textareafieldplugin
257	Can change text area field plugin	89	change_textareafieldplugin
258	Can delete text area field plugin	89	delete_textareafieldplugin
259	Can add email field plugin	90	add_emailfieldplugin
260	Can change email field plugin	90	change_emailfieldplugin
261	Can delete email field plugin	90	delete_emailfieldplugin
262	Can add file upload field plugin	91	add_fileuploadfieldplugin
263	Can change file upload field plugin	91	change_fileuploadfieldplugin
264	Can delete file upload field plugin	91	delete_fileuploadfieldplugin
265	Can add image upload field plugin	92	add_imageuploadfieldplugin
266	Can change image upload field plugin	92	change_imageuploadfieldplugin
267	Can delete image upload field plugin	92	delete_imageuploadfieldplugin
268	Can add option	93	add_option
269	Can change option	93	change_option
270	Can delete option	93	delete_option
271	Can add form button plugin	94	add_formbuttonplugin
272	Can change form button plugin	94	change_formbuttonplugin
273	Can delete form button plugin	94	delete_formbuttonplugin
274	Can add Form submission	95	add_formsubmission
275	Can change Form submission	95	change_formsubmission
276	Can delete Form submission	95	delete_formsubmission
277	Can add captcha store	96	add_captchastore
278	Can change captcha store	96	change_captchastore
279	Can delete captcha store	96	delete_captchastore
280	Can add email notification form plugin	86	add_emailnotificationformplugin
281	Can change email notification form plugin	86	change_emailnotificationformplugin
282	Can delete email notification form plugin	86	delete_emailnotificationformplugin
283	Can add email notification	97	add_emailnotification
284	Can change email notification	97	change_emailnotification
285	Can delete email notification	97	delete_emailnotification
286	Can add background image	99	add_backgroundimage
287	Can change background image	99	change_backgroundimage
288	Can delete background image	99	delete_backgroundimage
\.


